Rank,Name,Tourn P,Rank P,Ach P,GS,TF,AF,M,O,BT,T,W@1,W%,Elo
165,Rainer Schuettler,18,1,0,0,0,0,0,-,0,4,0,49.20%,2123
166,Fabio Fognini,18,0,0,0,0,0,1,-,1,9,0,52.50%,2112
167,Jaime Fillol,18,0,0,0,0,0,0,-,0,8,0,59.10%,2145
168,Dominik Hrbaty,18,0,0,0,0,0,0,-,0,6,0,53.00%,2085
169,Peter Mcnamara,17,0,1,0,0,0,0,-,0,5,0,60.00%,2168
170,Sam Querrey,17,0,0,0,0,0,0,-,0,10,0,54.00%,2068
171,Guillermo Perez Roldan,14,0,3,0,0,0,0,-,0,9,0,63.80%,2057
171,Sjeng Schalken,17,0,0,0,0,0,0,-,0,9,0,52.20%,2085
173,Karol Kucera,17,0,0,0,0,0,0,-,0,6,0,54.60%,2125
173,Nikola Pilic,17,0,0,0,0,0,0,-,0,6,0,54.80%,2143
175,Malivai Washington,17,0,0,0,0,0,0,-,0,4,0,57.80%,2071
176,Alberto Mancini,15,0,1,0,0,0,2,-,2,3,0,54.20%,2092
177,Fred Stolle,15,0,1,0,0,0,1,-,1,5,0,51.00%,2178
178,Mikael Pernfors,16,0,0,0,0,0,1,-,1,3,0,55.10%,2065
179,Onny Parun,16,0,0,0,0,0,0,-,0,6,0,52.30%,2097
180,Jimmy Arias,15,1,0,0,0,0,0,-,0,5,0,56.20%,2157
